time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,state,city
1634304600,2021-10-15 19:00,28.8,83.8,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",4.8,7.8,40,NE,1003.0,29.61,0.02,0.0,76,87,33.4,92.1,28.8,83.8,33.4,92.1,24.2,75.5,0,21,0,0,10.0,6.0,7.1,11.4,Andhra Pradesh,Visakhapatnam
1634308200,2021-10-15 20:00,28.6,83.5,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",4.8,7.7,39,NE,1003.0,29.63,0.03,0.0,77,84,33.2,91.8,28.6,83.5,33.2,91.8,24.1,75.4,0,21,0,0,10.0,6.0,7.0,11.3,Andhra Pradesh,Visakhapatnam
1634311800,2021-10-15 21:00,28.5,83.3,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",4.7,7.6,38,NE,1004.0,29.64,0.04,0.0,77,82,33.0,91.4,28.5,83.3,33.0,91.4,24.1,75.4,0,0,0,0,10.0,6.0,6.9,11.2,Andhra Pradesh,Visakhapatnam
1634315400,2021-10-15 22:00,28.1,82.5,0,"{'text': 'Patchy rain possible', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}",4.5,7.3,143,SE,1003.0,29.62,0.02,0.0,79,65,32.3,90.2,28.1,82.5,32.3,90.2,24.0,75.3,0,21,0,0,10.0,6.0,6.9,11.0,Andhra Pradesh,Visakhapatnam
1634319000,2021-10-15 23:00,27.6,81.7,0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",4.4,7.1,247,WSW,1002.0,29.6,0.0,0.0,81,48,31.7,89.0,27.6,81.7,31.7,89.0,24.0,75.1,0,1,0,0,10.0,6.0,6.8,10.9,Andhra Pradesh,Visakhapatnam
1634236200,2021-10-15 00:00,25.6,78.1,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,5.4,320,NW,1003.0,29.62,0.0,0.0,79,18,27.8,82.0,25.6,78.1,27.8,82.0,21.6,70.9,0,0,0,0,10.0,6.0,6.9,11.2,Andhra Pradesh,Vijayawada
1634239800,2021-10-15 01:00,25.3,77.5,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.5,5.6,318,NW,1003.0,29.62,0.0,0.0,79,19,27.4,81.4,25.3,77.5,27.4,81.4,21.4,70.5,0,0,0,0,10.0,6.0,7.2,11.6,Andhra Pradesh,Vijayawada
1634243400,2021-10-15 02:00,25.0,77.0,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.7,5.9,316,NW,1003.0,29.61,0.0,0.0,80,21,27.1,80.7,25.0,77.0,27.1,80.7,21.2,70.2,0,0,0,0,10.0,6.0,7.5,12.1,Andhra Pradesh,Vijayawada
1634247000,2021-10-15 03:00,24.7,76.5,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.8,6.1,314,NW,1002.0,29.6,0.0,0.0,80,23,26.7,80.1,24.7,76.5,26.7,80.1,21.0,69.8,0,0,0,0,10.0,6.0,7.8,12.6,Andhra Pradesh,Vijayawada
1634250600,2021-10-15 04:00,24.5,76.2,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.1,6.6,315,NW,1003.0,29.61,0.0,0.0,81,19,26.5,79.8,24.5,76.2,26.5,79.8,21.0,69.9,0,0,0,0,10.0,6.0,8.4,13.6,Andhra Pradesh,Vijayawada
1634254200,2021-10-15 05:00,24.4,75.9,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.4,7.1,316,NW,1003.0,29.63,0.0,0.0,82,16,26.4,79.5,24.4,75.9,26.4,79.5,21.1,69.9,0,0,0,0,10.0,6.0,9.0,14.5,Andhra Pradesh,Vijayawada
1634257800,2021-10-15 06:00,24.2,75.6,0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.7,7.6,317,NW,1004.0,29.65,0.0,0.0,83,12,26.2,79.2,24.2,75.6,26.2,79.2,21.1,70.0,0,0,0,0,10.0,6.0,9.6,15.5,Andhra Pradesh,Vijayawada
1634261400,2021-10-15 07:00,25.9,78.6,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.5,7.2,324,NW,1004.0,29.66,0.0,0.0,78,12,28.5,83.4,25.9,78.6,28.5,83.4,21.7,71.1,0,0,0,0,10.0,6.0,8.1,13.0,Andhra Pradesh,Vijayawada
1634265000,2021-10-15 08:00,27.6,81.7,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.3,6.8,330,NNW,1005.0,29.67,0.0,0.0,73,13,30.9,87.6,27.6,81.7,30.9,87.6,22.3,72.1,0,0,0,0,10.0,6.0,6.5,10.4,Andhra Pradesh,Vijayawada
1634268600,2021-10-15 09:00,29.3,84.7,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.0,6.5,337,NNW,1005.0,29.68,0.0,0.0,69,13,33.2,91.8,29.3,84.7,33.2,91.8,22.9,73.2,0,0,0,0,10.0,6.0,4.9,7.9,Andhra Pradesh,Vijayawada
1634272200,2021-10-15 10:00,30.7,87.2,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.0,6.5,328,NNW,1004.0,29.65,0.0,0.0,65,15,35.6,96.1,30.7,87.2,35.6,96.1,23.4,74.1,0,0,0,0,10.0,6.0,4.8,7.8,Andhra Pradesh,Vijayawada
1634275800,2021-10-15 11:00,32.0,89.7,1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.0,6.5,320,NW,1003.0,29.62,0.0,0.0,62,17,38.0,100.4,32.0,89.7,38.0,100.4,23.8,74.9,0,0,0,0,10.0,6.0,4.8,7.7,Andhra Pradesh,Vijayawada
